rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,catalyst_score,has_dividend,dividend_amount,has_bonus,bonus_ratio,headline,reasoning
1,BEL,BHARAT ELECTRONICS LIMITED,84.7,bullish,ACCUMULATE,"earnings, investment, expansion, contract","Regulatory/probe risk, FX/currency risk",95,1,50.6,425.55,2025-11-11T12:46:59.549685,419.17,427.68,436.19,446.83,414.91,+11.62,22.62,33.55,21.85,0.00,TRUE,TRUE,healthy,5,TRUE,₹0.9,FALSE,,BEL shares in focus on new order win worth Rs 792 crore ,"Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: BEL shares in focus on new order win worth Rs 792 crore BEL shares in focus on new order win worth R"
2,RELIANCE,RELIANCE INDUSTRIES LIMITED,82.8,bullish,BUY,"m&a, investment",,56,3,51.9,1486.40,2025-11-11T12:52:29.416370,1464.10,1493.83,1523.56,1560.72,1449.24,+12.46,78.32,0.04,11.08,0.44,TRUE,TRUE,healthy,5,TRUE,₹5.5,FALSE,,"Manipal Hospitals targets December IPO filing,  ₹1 trillion-plus valuation",Detected 2 catalyst(s). Risks: None. Evidence: n/a. From www.livemint.com [unknown:0.65]. Score: 78/100. Certainty: 56%. BULLISH.
3,GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,81.2,bullish,BUY,"earnings, investment, expansion, contract",Regulatory/probe risk,64,1,67.6,2764.20,2025-11-11T11:41:34.102070,2722.74,2778.02,2833.30,2902.41,2695.09,+12.24,37.83,47.62,9.17,0.00,TRUE,TRUE,healthy,5,TRUE,₹5.8,FALSE,,"GRSE shares rise 4%, up 8% in 2 sessions. What’s fuelling the rally? ","Detected 4 catalyst(s). Risks: Regulatory/probe risk. Evidence: Regulatory/probe risk: GRSE shares rise 4%, up 8% in 2 sessions.. From economictimes.indiatimes.com [tier1:0.95]. Score: 68/100. Certain"
4,FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED,80.8,bullish,ACCUMULATE,"earnings, investment, expansion, contract","Regulatory/probe risk, FX/currency risk",95,3,33.9,82.00,2025-11-11T11:40:42.636106,80.77,82.41,84.05,86.10,79.95,+8.00,,408.31,13.74,0.03,TRUE,TRUE,healthy,0,FALSE,,FALSE,,BEL shares in focus on new order win worth Rs 792 crore ,"Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: BEL shares in focus on new order win worth Rs 792 crore BEL shares in focus on new order win wo"
5,ONGC,OIL & NATURAL GAS CORPORATION LIMITED,79.3,neutral,ACCUMULATE,"earnings, investment, expansion, dividend","Regulatory/probe risk, FX/currency risk",95,1,48.2,247.30,2025-11-11T12:51:15.811363,244.83,247.30,257.19,267.08,237.41,+6.12,-1.71,-26.29,6.01,0.55,TRUE,TRUE,moderate,5,TRUE,₹1.2,FALSE,,ONGC shares in focus as Q2 profit falls 18% YoY ,"Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: ONGC shares in focus as Q2 profit falls 18% YoY ONGC shares in focus as Q2 profit falls 18% YoY - Th"
6,PFC,POWER FINANCE CORPORATION LIMITED,75.7,bearish,HOLD,"earnings, investment, expansion, dividend","Regulatory/probe risk, FX/currency risk",95,1,38.6,372.20,2025-11-11T12:51:43.545899,368.48,372.20,387.09,401.98,357.31,+5.67,23.87,16.34,66.74,8.50,TRUE,TRUE,moderate,5,TRUE,₹3.6,FALSE,,PFC shares slip 3% in 2 days after Q2 results despite moderate YoY profit growth ,"Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: PFC shares slip 3% in 2 days after Q2 results despite moderate YoY profit growth PFC shares slip 3% "
7,SUZLON,SUZLON ENERGY LIMITED,75.0,bullish,BUY,"earnings, investment, expansion",Regulatory/probe risk,66,1,46.5,57.65,2025-11-11T12:53:41.321669,57.07,57.65,59.96,62.26,55.34,+8.68,7.29,213.72,10.40,0.12,TRUE,TRUE,healthy,0,FALSE,,FALSE,,Suzlon’s multibagger rally stalls despite soaring profits and P/E moderation as stock slips 30% from,Detected 3 catalyst(s). Risks: Regulatory/probe risk. Evidence: Regulatory/probe risk: Suzlon’s multibagger rally stalls despite soaring profits and P/E moderation as stock slips 30% from peak.. From 
8,WORTH,WORTH PERIPHERALS LIMITED,74.8,bullish,ACCUMULATE,"earnings, m&a, investment, dividend","Regulatory/probe risk, FX/currency risk",64,2,43.8,159.00,2025-11-11T12:45:06.004765,156.62,159.79,162.97,166.95,155.03,+2.25,,-2.82,7.22,0.11,TRUE,TRUE,moderate,0,FALSE,,FALSE,,Minerva Ventures Fund buys shares worth ₹11 crore in A-1 Limited,"Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: Minerva Ventures Fund buys shares worth ₹11 crore in A-1 Limited Minerva Ventures Fund buys shares w"
9,BRITANNIA,BRITANNIA INDUSTRIES LIMITED,74.3,neutral,ACCUMULATE,"earnings, investment, expansion, contract, dividend","Regulatory/probe risk, FX/currency risk",44,1,48.8,5880.00,2025-11-11T12:47:31.601227,5791.80,5909.40,6027.00,6174.00,5733.00,+10.60,2.98,1.82,11.48,0.29,TRUE,TRUE,healthy,5,TRUE,₹75.0,FALSE,,"Britannia Industries shares decline 6% after Varun Berry resigns; Rakshit Hargave named new MD, CEO ","Detected 5 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Britannia Industries shares decline 6% after Varun Berry resigns; Rakshit Hargave named new MD,"
10,SULA,SULA VINEYARDS LIMITED,71.9,bullish,ACCUMULATE,"earnings, investment, expansion, contract","Regulatory/probe risk, FX/currency risk",74,1,50.8,247.05,2025-11-11T12:38:08.628179,244.58,247.05,256.93,266.81,237.17,+4.02,-86.74,-24.77,1.77,0.54,TRUE,TRUE,moderate,5,TRUE,₹3.6,FALSE,,Sula Vineyards shares fall 4% as Q2 net profit declines 58% YoY to Rs 6 crore ,"Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: Sula Vineyards shares fall 4% as Q2 net profit declines 58% YoY to Rs 6 crore Sula Vineyards shares "
11,RETAIL,JHS SVENDGAARD RETAIL VENTURES LIMITED,39.0,bearish,WATCH,"earnings, investment","Profitability risk (losses), FX/currency risk",82,1,40.1,30.00,2025-11-11T11:44:12.901920,29.55,30.15,30.75,31.50,29.25,-10.00,-156.66,-53.89,-1.66,0.44,FALSE,TRUE,concerning,0,FALSE,,FALSE,,Spencer’s Retail Q2 net loss narrows at ₹63.79 crore,"Detected 2 catalyst(s). Risks: Profitability risk (losses), FX/currency risk. Evidence: Profitability risk (losses): Spencer’s Retail Q2 net loss narrows at ₹63.79 crore Spencer Retail Q2 Results: Net"
